16VOR N043.24.16.718 E112.09.40.511
22VOR N036.47.47.821 E117.12.54.000
25VOR N039.04.12.410 E117.22.26.310
26DME N037.46.35.141 E112.34.42.161
26VOR N037.46.38.482 E112.34.45.772
28VOR N039.41.07.102 E119.08.46.111
30VOR N040.35.24.479 E109.56.58.409
31VOR N039.27.56.542 E109.55.14.059
32VOR N039.31.22.260 E109.48.26.471
32VOR N040.31.36.502 E110.03.22.741
33E12 N033.00.00.000 E112.00.00.000
33E13 N033.00.00.000 E113.00.00.000
33E14 N033.00.00.000 E114.00.00.000
33E15 N033.00.00.000 E115.00.00.000
34E11 N034.00.00.000 E111.00.00.000
34E12 N034.00.00.000 E112.00.00.000
34E13 N034.00.00.000 E113.00.00.000
34E14 N034.00.00.000 E114.00.00.000
34E15 N034.00.00.000 E115.00.00.000
35E11 N035.00.00.000 E111.00.00.000
35E12 N035.00.00.000 E112.00.00.000
35E13 N035.00.00.000 E113.00.00.000
35E14 N035.00.00.000 E114.00.00.000
35E15 N035.00.00.000 E115.00.00.000
35E16 N035.00.00.000 E116.00.00.000
35E17 N035.00.00.000 E117.00.00.000
35E18 N035.00.00.000 E118.00.00.000
35E19 N035.00.00.000 E119.00.00.000
36E11 N036.00.00.000 E111.00.00.000
36E12 N036.00.00.000 E112.00.00.000
36E13 N036.00.00.000 E113.00.00.000
36E14 N036.00.00.000 E114.00.00.000
36E15 N036.00.00.000 E115.00.00.000
36E16 N036.00.00.000 E116.00.00.000
36E17 N036.00.00.000 E117.00.00.000
36E18 N036.00.00.000 E118.00.00.000
36E19 N036.00.00.000 E119.00.00.000
37E11 N037.00.00.000 E111.00.00.000
37E12 N037.00.00.000 E112.00.00.000
37E13 N037.00.00.000 E113.00.00.000
37E14 N037.00.00.000 E114.00.00.000
37E15 N037.00.00.000 E115.00.00.000
37E16 N037.00.00.000 E116.00.00.000
37E17 N037.00.00.000 E117.00.00.000
37E18 N037.00.00.000 E118.00.00.000
37E19 N037.00.00.000 E119.00.00.000
38E11 N038.00.00.000 E111.00.00.000
38E12 N038.00.00.000 E112.00.00.000
38E13 N038.00.00.000 E113.00.00.000
38E14 N038.00.00.000 E114.00.00.000
38E15 N038.00.00.000 E115.00.00.000
38E16 N038.00.00.000 E116.00.00.000
38E17 N038.00.00.000 E117.00.00.000
38E18 N038.00.00.000 E118.00.00.000
38E19 N038.00.00.000 E119.00.00.000
38E20 N038.00.00.000 E120.00.00.000
38VOR N034.59.12.181 E118.24.28.642
38VOR N037.42.46.282 E112.41.10.208
39E09 N039.00.00.000 E109.00.00.000
39E10 N039.00.00.000 E110.00.00.000
39E11 N039.00.00.000 E111.00.00.000
39E12 N039.00.00.000 E112.00.00.000
39E13 N039.00.00.000 E113.00.00.000
39E14 N039.00.00.000 E114.00.00.000
39E15 N039.00.00.000 E115.00.00.000
39E16 N039.00.00.000 E116.00.00.000
39E17 N039.00.00.000 E117.00.00.000
39E18 N039.00.00.000 E118.00.00.000
39E19 N039.00.00.000 E119.00.00.000
39E20 N039.00.00.000 E120.00.00.000
39VOR N035.06.54.050 E118.24.33.070
40E08 N040.00.00.000 E108.00.00.000
40E09 N040.00.00.000 E109.00.00.000
40E10 N040.00.00.000 E110.00.00.000
40E11 N040.00.00.000 E111.00.00.000
40E12 N040.00.00.000 E112.00.00.000
40E13 N040.00.00.000 E113.00.00.000
40E14 N040.00.00.000 E114.00.00.000
40E15 N040.00.00.000 E115.00.00.000
40E16 N040.00.00.000 E116.00.00.000
40E17 N040.00.00.000 E117.00.00.000
40E18 N040.00.00.000 E118.00.00.000
40E19 N040.00.00.000 E119.00.00.000
40VOR N039.39.07.661 E119.00.20.840
41DME N040.49.53.800 E111.45.20.790
41E06 N041.00.00.000 E106.00.00.000
41E07 N041.00.00.000 E107.00.00.000
41E08 N041.00.00.000 E108.00.00.000
41E09 N041.00.00.000 E109.00.00.000
41E10 N041.00.00.000 E110.00.00.000
41E11 N041.00.00.000 E111.00.00.000
41E12 N041.00.00.000 E112.00.00.000
41E13 N041.00.00.000 E113.00.00.000
41E14 N041.00.00.000 E114.00.00.000
41E15 N041.00.00.000 E115.00.00.000
41E16 N041.00.00.000 E116.00.00.000
41E17 N041.00.00.000 E117.00.00.000
41E18 N041.00.00.000 E118.00.00.000
41E19 N041.00.00.000 E119.00.00.000
41VO2 N038.20.13.880 E114.39.02.869
41VOR N038.20.07.192 E114.38.50.219
42E06 N042.00.00.000 E106.00.00.000
42E07 N042.00.00.000 E107.00.00.000
42E08 N042.00.00.000 E108.00.00.000
42E09 N042.00.00.000 E109.00.00.000
42E10 N042.00.00.000 E110.00.00.000
42E11 N042.00.00.000 E111.00.00.000
42E12 N042.00.00.000 E112.00.00.000
42E13 N042.00.00.000 E113.00.00.000
42E14 N042.00.00.000 E114.00.00.000
42E15 N042.00.00.000 E115.00.00.000
42E16 N042.00.00.000 E116.00.00.000
42E17 N042.00.00.000 E117.00.00.000
42E18 N042.00.00.000 E118.00.00.000
43E11 N043.00.00.000 E111.00.00.000
43E12 N043.00.00.000 E112.00.00.000
43E13 N043.00.00.000 E113.00.00.000
43E14 N043.00.00.000 E114.00.00.000
43E15 N043.00.00.000 E115.00.00.000
43E16 N043.00.00.000 E116.00.00.000
43E17 N043.00.00.000 E117.00.00.000
43VOR N039.10.23.981 E117.18.54.241
44E12 N044.00.00.000 E112.00.00.000
44E13 N044.00.00.000 E113.00.00.000
44E14 N044.00.00.000 E114.00.00.000
44E15 N044.00.00.000 E115.00.00.000
44E16 N044.00.00.000 E116.00.00.000
44E17 N044.00.00.000 E117.00.00.000
45E12 N045.00.00.000 E112.00.00.000
45E13 N045.00.00.000 E113.00.00.000
45E14 N045.00.00.000 E114.00.00.000
45E15 N045.00.00.000 E115.00.00.000
45E16 N045.00.00.000 E116.00.00.000
50VOR N043.26.25.501 E112.01.06.650
52VOR N036.55.12.400 E117.12.54.000
60VOR N036.56.00.470 E117.12.54.000
71DME N040.53.41.921 E111.59.13.852
AA405 N040.13.39.000 E116.32.59.798
AA406 N040.13.03.101 E116.26.34.699
AA410 N040.13.44.000 E116.46.54.998
AA411 N040.15.27.698 E117.02.37.298
AA412 N040.24.49.000 E117.00.52.999
AA413 N040.29.36.398 E116.55.01.499
AA414 N040.30.45.000 E116.57.14.000
AA420 N039.38.44.801 E116.40.52.399
AA421 N039.39.23.000 E116.47.48.001
AA422 N040.02.17.002 E116.44.17.999
AA423 N040.25.10.999 E116.40.45.001
AA424 N040.36.36.101 E116.53.37.298
AA425 N040.03.02.999 E116.52.41.002
AA426 N039.32.08.999 E116.57.20.002
AA427 N039.23.05.600 E117.01.23.700
AA428 N039.02.08.200 E117.10.42.899
AA429 N038.51.33.001 E117.15.23.000
AA430 N040.18.59.000 E116.33.29.999
AA431 N040.18.56.801 E115.55.43.000
AA432 N040.02.57.199 E115.52.40.699
AA433 N039.45.53.100 E115.49.27.502
AA434 N039.10.25.702 E115.54.20.700
AA435 N039.10.09.001 E116.01.18.998
AA436 N039.08.16.001 E116.44.28.000
AA437 N040.18.54.000 E115.44.37.000
AA440 N039.37.39.500 E116.38.35.401
AA441 N039.36.20.599 E116.24.33.901
AA442 N039.29.58.999 E116.25.34.000
AA443 N039.03.24.998 E116.29.43.001
AA444 N038.50.48.901 E116.07.31.102
AA445 N040.25.16.000 E116.35.44.002
AA446 N040.25.53.299 E115.45.58.500
AA450 N040.13.32.999 E116.26.16.001
AA451 N040.13.34.000 E116.01.44.000
AA452 N039.45.54.000 E115.56.26.999
AA453 N040.13.32.999 E115.51.23.000
AA454 N040.10.14.902 E115.48.28.199
AA455 N039.51.03.899 E115.31.34.201
AA462 N039.46.23.300 E115.56.32.600
AA463 N040.20.08.099 E115.35.31.600
AA492 N039.37.47.201 E116.39.59.000
AA493 N040.10.07.000 E116.34.56.600
AA494 N040.10.50.300 E116.42.47.099
AA505 N040.20.06.299 E116.25.27.098
AA510 N039.59.35.002 E116.36.36.000
AA511 N039.58.44.000 E116.41.44.002
