10VOR N022.20.35.020 E113.59.56.648
13VOR N022.34.15.179 E108.07.59.632
18LOC N022.40.43.691 E113.46.17.400
21E08 N021.00.00.000 E108.00.00.000
21E09 N021.00.00.000 E109.00.00.000
21E10 N021.00.00.000 E110.00.00.000
21E11 N021.00.00.000 E111.00.00.000
22E07 N022.00.00.000 E107.00.00.000
22E08 N022.00.00.000 E108.00.00.000
22E09 N022.00.00.000 E109.00.00.000
22E10 N022.00.00.000 E110.00.00.000
22E11 N022.00.00.000 E111.00.00.000
22E12 N022.00.00.000 E112.00.00.000
22E13 N022.00.00.000 E113.00.00.000
23E06 N023.00.00.000 E106.00.00.000
23E07 N023.00.00.000 E107.00.00.000
23E08 N023.00.00.000 E108.00.00.000
23E09 N023.00.00.000 E109.00.00.000
23E10 N023.00.00.000 E110.00.00.000
23E11 N023.00.00.000 E111.00.00.000
23E12 N023.00.00.000 E112.00.00.000
23E13 N023.00.00.000 E113.00.00.000
23E14 N023.00.00.000 E114.00.00.000
23E15 N023.00.00.000 E115.00.00.000
23E16 N023.00.00.000 E116.00.00.000
24E06 N024.00.00.000 E106.00.00.000
24E07 N024.00.00.000 E107.00.00.000
24E08 N024.00.00.000 E108.00.00.000
24E09 N024.00.00.000 E109.00.00.000
24E10 N024.00.00.000 E110.00.00.000
24E11 N024.00.00.000 E111.00.00.000
24E12 N024.00.00.000 E112.00.00.000
24E13 N024.00.00.000 E113.00.00.000
24E14 N024.00.00.000 E114.00.00.000
24E15 N024.00.00.000 E115.00.00.000
24E16 N024.00.00.000 E116.00.00.000
24E17 N024.00.00.000 E117.00.00.000
24LO2 N022.41.15.878 E113.45.59.738
24LO3 N022.35.32.280 E113.50.10.979
24LO4 N022.35.26.131 E113.49.11.510
24LOC N022.41.10.450 E113.47.05.640
25E06 N025.00.00.000 E106.00.00.000
25E07 N025.00.00.000 E107.00.00.000
25E08 N025.00.00.000 E108.00.00.000
25E09 N025.00.00.000 E109.00.00.000
25E10 N025.00.00.000 E110.00.00.000
25E11 N025.00.00.000 E111.00.00.000
25E12 N025.00.00.000 E112.00.00.000
25E13 N025.00.00.000 E113.00.00.000
25E14 N025.00.00.000 E114.00.00.000
25E15 N025.00.00.000 E115.00.00.000
26E08 N026.00.00.000 E108.00.00.000
26E09 N026.00.00.000 E109.00.00.000
26E10 N026.00.00.000 E110.00.00.000
26E11 N026.00.00.000 E111.00.00.000
26E12 N026.00.00.000 E112.00.00.000
26E13 N026.00.00.000 E113.00.00.000
26E14 N026.00.00.000 E114.00.00.000
27E10 N027.00.00.000 E110.00.00.000
27E11 N027.00.00.000 E111.00.00.000
27E12 N027.00.00.000 E112.00.00.000
27E13 N027.00.00.000 E113.00.00.000
27E14 N027.00.00.000 E114.00.00.000
28E10 N028.00.00.000 E110.00.00.000
28E11 N028.00.00.000 E111.00.00.000
28E12 N028.00.00.000 E112.00.00.000
28E13 N028.00.00.000 E113.00.00.000
28E14 N028.00.00.000 E114.00.00.000
29E10 N029.00.00.000 E110.00.00.000
29E11 N029.00.00.000 E111.00.00.000
29E12 N029.00.00.000 E112.00.00.000
29E13 N029.00.00.000 E113.00.00.000
29E14 N029.00.00.000 E114.00.00.000
30E10 N030.00.00.000 E110.00.00.000
30E11 N030.00.00.000 E111.00.00.000
30E12 N030.00.00.000 E112.00.00.000
30E13 N030.00.00.000 E113.00.00.000
30E14 N030.00.00.000 E114.00.00.000
30E15 N030.00.00.000 E115.00.00.000
31E10 N031.00.00.000 E110.00.00.000
31E11 N031.00.00.000 E111.00.00.000
31E12 N031.00.00.000 E112.00.00.000
31E13 N031.00.00.000 E113.00.00.000
31E14 N031.00.00.000 E114.00.00.000
31E15 N031.00.00.000 E115.00.00.000
32E10 N032.00.00.000 E110.00.00.000
32E11 N032.00.00.000 E111.00.00.000
32E12 N032.00.00.000 E112.00.00.000
32E13 N032.00.00.000 E113.00.00.000
32E14 N032.00.00.000 E114.00.00.000
32E15 N032.00.00.000 E115.00.00.000
33E11 N033.00.00.000 E111.00.00.000
33E12 N033.00.00.000 E112.00.00.000
35DME N022.19.32.419 E113.59.22.171
36LOC N022.42.14.839 E113.46.30.320
37VOR N029.04.57.281 E110.20.08.470
40DM2 N022.16.32.390 E113.50.03.541
40DM3 N022.20.31.430 E113.59.40.942
40DM4 N022.19.42.262 E113.59.52.750
40DME N022.17.23.780 E113.49.58.559
42DME N025.17.54.269 E110.02.59.071
45DME N025.07.56.690 E110.01.42.931
47VOR N025.08.00.629 E110.02.21.289
50VOR N022.21.53.359 E114.04.01.492
51VOR N027.55.53.969 E109.21.27.158
52VOR N022.38.46.990 E108.13.02.881
52VOR N030.24.53.579 E109.31.40.210
54VOR N030.14.48.188 E109.28.42.460
61VOR N024.18.37.051 E116.08.34.861
64VOR N029.07.15.449 E110.31.21.490
