24DME N038.16.27.530 E106.21.34.268
29VOR N036.35.19.388 E103.36.57.791
3296E N032.00.00.000 E096.00.00.000
3297E N032.00.00.000 E097.00.00.000
3298E N032.00.00.000 E098.00.00.000
3299E N032.00.00.000 E099.00.00.000
32E08 N032.00.00.000 E108.00.00.000
32E09 N032.00.00.000 E109.00.00.000
3392E N033.00.00.000 E092.00.00.000
3393E N033.00.00.000 E093.00.00.000
3394E N033.00.00.000 E094.00.00.000
3395E N033.00.00.000 E095.00.00.000
3396E N033.00.00.000 E096.00.00.000
3397E N033.00.00.000 E097.00.00.000
3398E N033.00.00.000 E098.00.00.000
3399E N033.00.00.000 E099.00.00.000
33E00 N033.00.00.000 E100.00.00.000
33E01 N033.00.00.000 E101.00.00.000
33E02 N033.00.00.000 E102.00.00.000
33E05 N033.00.00.000 E105.00.00.000
33E06 N033.00.00.000 E106.00.00.000
33E07 N033.00.00.000 E107.00.00.000
33E08 N033.00.00.000 E108.00.00.000
33E09 N033.00.00.000 E109.00.00.000
33E10 N033.00.00.000 E110.00.00.000
3491E N034.00.00.000 E091.00.00.000
3492E N034.00.00.000 E092.00.00.000
3493E N034.00.00.000 E093.00.00.000
3494E N034.00.00.000 E094.00.00.000
3495E N034.00.00.000 E095.00.00.000
3496E N034.00.00.000 E096.00.00.000
3497E N034.00.00.000 E097.00.00.000
3498E N034.00.00.000 E098.00.00.000
3499E N034.00.00.000 E099.00.00.000
34E00 N034.00.00.000 E100.00.00.000
34E01 N034.00.00.000 E101.00.00.000
34E02 N034.00.00.000 E102.00.00.000
34E03 N034.00.00.000 E103.00.00.000
34E04 N034.00.00.000 E104.00.00.000
34E05 N034.00.00.000 E105.00.00.000
34E06 N034.00.00.000 E106.00.00.000
34E07 N034.00.00.000 E107.00.00.000
34E08 N034.00.00.000 E108.00.00.000
34E09 N034.00.00.000 E109.00.00.000
34E10 N034.00.00.000 E110.00.00.000
3590E N035.00.00.000 E090.00.00.000
3591E N035.00.00.000 E091.00.00.000
3592E N035.00.00.000 E092.00.00.000
3593E N035.00.00.000 E093.00.00.000
3594E N035.00.00.000 E094.00.00.000
3595E N035.00.00.000 E095.00.00.000
3596E N035.00.00.000 E096.00.00.000
3597E N035.00.00.000 E097.00.00.000
3598E N035.00.00.000 E098.00.00.000
3599E N035.00.00.000 E099.00.00.000
35E00 N035.00.00.000 E100.00.00.000
35E01 N035.00.00.000 E101.00.00.000
35E02 N035.00.00.000 E102.00.00.000
35E03 N035.00.00.000 E103.00.00.000
35E04 N035.00.00.000 E104.00.00.000
35E05 N035.00.00.000 E105.00.00.000
35E06 N035.00.00.000 E106.00.00.000
35E07 N035.00.00.000 E107.00.00.000
35E08 N035.00.00.000 E108.00.00.000
35E09 N035.00.00.000 E109.00.00.000
35E10 N035.00.00.000 E110.00.00.000
3689E N036.00.00.000 E089.00.00.000
3690E N036.00.00.000 E090.00.00.000
3691E N036.00.00.000 E091.00.00.000
3692E N036.00.00.000 E092.00.00.000
3693E N036.00.00.000 E093.00.00.000
3694E N036.00.00.000 E094.00.00.000
3695E N036.00.00.000 E095.00.00.000
3696E N036.00.00.000 E096.00.00.000
3697E N036.00.00.000 E097.00.00.000
3698E N036.00.00.000 E098.00.00.000
3699E N036.00.00.000 E099.00.00.000
36E00 N036.00.00.000 E100.00.00.000
36E01 N036.00.00.000 E101.00.00.000
36E02 N036.00.00.000 E102.00.00.000
36E03 N036.00.00.000 E103.00.00.000
36E04 N036.00.00.000 E104.00.00.000
36E05 N036.00.00.000 E105.00.00.000
36E06 N036.00.00.000 E106.00.00.000
36E07 N036.00.00.000 E107.00.00.000
36E08 N036.00.00.000 E108.00.00.000
36E09 N036.00.00.000 E109.00.00.000
36E10 N036.00.00.000 E110.00.00.000
3788E N037.00.00.000 E088.00.00.000
3789E N037.00.00.000 E089.00.00.000
3790E N037.00.00.000 E090.00.00.000
3791E N037.00.00.000 E091.00.00.000
3792E N037.00.00.000 E092.00.00.000
3793E N037.00.00.000 E093.00.00.000
3794E N037.00.00.000 E094.00.00.000
3795E N037.00.00.000 E095.00.00.000
3796E N037.00.00.000 E096.00.00.000
3797E N037.00.00.000 E097.00.00.000
3798E N037.00.00.000 E098.00.00.000
3799E N037.00.00.000 E099.00.00.000
37E00 N037.00.00.000 E100.00.00.000
37E01 N037.00.00.000 E101.00.00.000
37E02 N037.00.00.000 E102.00.00.000
37E03 N037.00.00.000 E103.00.00.000
37E04 N037.00.00.000 E104.00.00.000
37E05 N037.00.00.000 E105.00.00.000
37E06 N037.00.00.000 E106.00.00.000
