35THR N047.53.18.161 E091.40.03.850
42E02 N042.00.00.000 E102.00.00.000
42E03 N042.00.00.000 E103.00.00.000
42E04 N042.00.00.000 E104.00.00.000
42E05 N042.00.00.000 E105.00.00.000
42E06 N042.00.00.000 E106.00.00.000
4396E N043.00.00.000 E096.00.00.000
4397E N043.00.00.000 E097.00.00.000
4398E N043.00.00.000 E098.00.00.000
4399E N043.00.00.000 E099.00.00.000
43E00 N043.00.00.000 E100.00.00.000
43E01 N043.00.00.000 E101.00.00.000
43E02 N043.00.00.000 E102.00.00.000
43E03 N043.00.00.000 E103.00.00.000
43E04 N043.00.00.000 E104.00.00.000
43E05 N043.00.00.000 E105.00.00.000
43E06 N043.00.00.000 E106.00.00.000
43E07 N043.00.00.000 E107.00.00.000
43E08 N043.00.00.000 E108.00.00.000
43E09 N043.00.00.000 E109.00.00.000
43E10 N043.00.00.000 E110.00.00.000
43E11 N043.00.00.000 E111.00.00.000
4496E N044.00.00.000 E096.00.00.000
4497E N044.00.00.000 E097.00.00.000
4498E N044.00.00.000 E098.00.00.000
4499E N044.00.00.000 E099.00.00.000
44E00 N044.00.00.000 E100.00.00.000
44E01 N044.00.00.000 E101.00.00.000
44E02 N044.00.00.000 E102.00.00.000
44E03 N044.00.00.000 E103.00.00.000
44E04 N044.00.00.000 E104.00.00.000
44E05 N044.00.00.000 E105.00.00.000
44E06 N044.00.00.000 E106.00.00.000
44E07 N044.00.00.000 E107.00.00.000
44E08 N044.00.00.000 E108.00.00.000
44E09 N044.00.00.000 E109.00.00.000
44E10 N044.00.00.000 E110.00.00.000
44E11 N044.00.00.000 E111.00.00.000
44E12 N044.00.00.000 E112.00.00.000
4591E N045.00.00.000 E091.00.00.000
4592E N045.00.00.000 E092.00.00.000
4593E N045.00.00.000 E093.00.00.000
4594E N045.00.00.000 E094.00.00.000
4595E N045.00.00.000 E095.00.00.000
4596E N045.00.00.000 E096.00.00.000
4597E N045.00.00.000 E097.00.00.000
4598E N045.00.00.000 E098.00.00.000
4599E N045.00.00.000 E099.00.00.000
45E00 N045.00.00.000 E100.00.00.000
45E01 N045.00.00.000 E101.00.00.000
45E02 N045.00.00.000 E102.00.00.000
45E03 N045.00.00.000 E103.00.00.000
45E04 N045.00.00.000 E104.00.00.000
45E05 N045.00.00.000 E105.00.00.000
45E06 N045.00.00.000 E106.00.00.000
45E07 N045.00.00.000 E107.00.00.000
45E08 N045.00.00.000 E108.00.00.000
45E09 N045.00.00.000 E109.00.00.000
45E10 N045.00.00.000 E110.00.00.000
45E11 N045.00.00.000 E111.00.00.000
45E12 N045.00.00.000 E112.00.00.000
45E13 N045.00.00.000 E113.00.00.000
45E14 N045.00.00.000 E114.00.00.000
