14VOR N031.14.18.071 E121.19.54.869
18VOR N033.45.01.771 E119.05.24.140
22VOR N036.47.47.821 E117.12.54.000
24E17 N024.00.00.000 E117.00.00.000
24E18 N024.00.00.000 E118.00.00.000
24E19 N024.00.00.000 E119.00.00.000
25E16 N025.00.00.000 E116.00.00.000
25E17 N025.00.00.000 E117.00.00.000
25E18 N025.00.00.000 E118.00.00.000
25E19 N025.00.00.000 E119.00.00.000
25E20 N025.00.00.000 E120.00.00.000
25VOR N034.03.15.700 E117.29.56.782
26DME N024.50.30.120 E118.37.02.971
26E14 N026.00.00.000 E114.00.00.000
26E15 N026.00.00.000 E115.00.00.000
26E16 N026.00.00.000 E116.00.00.000
26E17 N026.00.00.000 E117.00.00.000
26E18 N026.00.00.000 E118.00.00.000
26E19 N026.00.00.000 E119.00.00.000
26E20 N026.00.00.000 E120.00.00.000
26E21 N026.00.00.000 E121.00.00.000
26VOR N024.50.33.608 E118.36.56.131
26VOR N033.23.29.990 E120.10.04.660
27DME N029.59.19.630 E122.21.28.519
27E14 N027.00.00.000 E114.00.00.000
27E15 N027.00.00.000 E115.00.00.000
27E16 N027.00.00.000 E116.00.00.000
27E17 N027.00.00.000 E117.00.00.000
27E18 N027.00.00.000 E118.00.00.000
27E19 N027.00.00.000 E119.00.00.000
27E20 N027.00.00.000 E120.00.00.000
27E21 N027.00.00.000 E121.00.00.000
27E22 N027.00.00.000 E122.00.00.000
28E15 N028.00.00.000 E115.00.00.000
28E16 N028.00.00.000 E116.00.00.000
28E17 N028.00.00.000 E117.00.00.000
28E18 N028.00.00.000 E118.00.00.000
28E19 N028.00.00.000 E119.00.00.000
28E20 N028.00.00.000 E120.00.00.000
28E21 N028.00.00.000 E121.00.00.000
28E22 N028.00.00.000 E122.00.00.000
28E23 N028.00.00.000 E123.00.00.000
28LOC N029.51.29.459 E121.24.25.391
28LOC N029.52.52.630 E122.22.07.388
29E15 N029.00.00.000 E115.00.00.000
29E16 N029.00.00.000 E116.00.00.000
29E17 N029.00.00.000 E117.00.00.000
29E18 N029.00.00.000 E118.00.00.000
29E19 N029.00.00.000 E119.00.00.000
29E20 N029.00.00.000 E120.00.00.000
29E21 N029.00.00.000 E121.00.00.000
29E22 N029.00.00.000 E122.00.00.000
29E23 N029.00.00.000 E123.00.00.000
29E24 N029.00.00.000 E124.00.00.000
29VOR N027.58.19.088 E120.53.24.950
30E16 N030.00.00.000 E116.00.00.000
30E17 N030.00.00.000 E117.00.00.000
30E18 N030.00.00.000 E118.00.00.000
30E19 N030.00.00.000 E119.00.00.000
30E20 N030.00.00.000 E120.00.00.000
30E21 N030.00.00.000 E121.00.00.000
30E22 N030.00.00.000 E122.00.00.000
30E23 N030.00.00.000 E123.00.00.000
30E24 N030.00.00.000 E124.00.00.000
30LOC N029.47.34.429 E121.31.16.522
30VOR N031.32.47.400 E120.26.52.058
31E16 N031.00.00.000 E116.00.00.000
31E17 N031.00.00.000 E117.00.00.000
31E18 N031.00.00.000 E118.00.00.000
31E19 N031.00.00.000 E119.00.00.000
31E20 N031.00.00.000 E120.00.00.000
31E21 N031.00.00.000 E121.00.00.000
31E22 N031.00.00.000 E122.00.00.000
31E23 N031.00.00.000 E123.00.00.000
31E24 N031.00.00.000 E124.00.00.000
32E16 N032.00.00.000 E116.00.00.000
32E17 N032.00.00.000 E117.00.00.000
32E18 N032.00.00.000 E118.00.00.000
32E19 N032.00.00.000 E119.00.00.000
32E20 N032.00.00.000 E120.00.00.000
32E21 N032.00.00.000 E121.00.00.000
32E22 N032.00.00.000 E122.00.00.000
32E23 N032.00.00.000 E123.00.00.000
32E24 N032.00.00.000 E124.00.00.000
32VOR N029.17.02.450 E120.00.18.961
32VOR N029.52.41.560 E122.21.44.140
32VOR N037.07.57.630 E122.12.28.372
33E16 N033.00.00.000 E116.00.00.000
33E17 N033.00.00.000 E117.00.00.000
33E18 N033.00.00.000 E118.00.00.000
33E19 N033.00.00.000 E119.00.00.000
33E20 N033.00.00.000 E120.00.00.000
33E21 N033.00.00.000 E121.00.00.000
33E22 N033.00.00.000 E122.00.00.000
33E23 N033.00.00.000 E123.00.00.000
33E24 N033.00.00.000 E124.00.00.000
33VOR N025.59.26.210 E119.41.41.168
34E16 N034.00.00.000 E116.00.00.000
34E17 N034.00.00.000 E117.00.00.000
34E18 N034.00.00.000 E118.00.00.000
34E19 N034.00.00.000 E119.00.00.000
34E20 N034.00.00.000 E120.00.00.000
34E21 N034.00.00.000 E121.00.00.000
34E22 N034.00.00.000 E122.00.00.000
34E23 N034.00.00.000 E123.00.00.000
34E24 N034.00.00.000 E124.00.00.000
34VOR N031.13.32.441 E121.45.46.469
35E16 N035.00.00.000 E116.00.00.000
35E17 N035.00.00.000 E117.00.00.000
35E18 N035.00.00.000 E118.00.00.000
35E19 N035.00.00.000 E119.00.00.000
35E20 N035.00.00.000 E120.00.00.000
35E21 N035.00.00.000 E121.00.00.000
35E22 N035.00.00.000 E122.00.00.000
35E23 N035.00.00.000 E123.00.00.000
35E24 N035.00.00.000 E124.00.00.000
35VOR N031.09.23.519 E121.19.59.999
36E16 N036.00.00.000 E116.00.00.000
36E17 N036.00.00.000 E117.00.00.000
36E18 N036.00.00.000 E118.00.00.000
36E19 N036.00.00.000 E119.00.00.000
36E20 N036.00.00.000 E120.00.00.000
36E21 N036.00.00.000 E121.00.00.000
36E22 N036.00.00.000 E122.00.00.000
36E23 N036.00.00.000 E123.00.00.000
36E24 N036.00.00.000 E124.00.00.000
36VOR N029.59.28.410 E122.21.13.381
36VOR N031.09.17.809 E121.20.13.171
37DME N028.47.47.429 E115.52.10.740
37E16 N037.00.00.000 E116.00.00.000
37E17 N037.00.00.000 E117.00.00.000
37E18 N037.00.00.000 E118.00.00.000
37E19 N037.00.00.000 E119.00.00.000
37E20 N037.00.00.000 E120.00.00.000
37E21 N037.00.00.000 E121.00.00.000
37E22 N037.00.00.000 E122.00.00.000
37E23 N037.00.00.000 E123.00.00.000
37E24 N037.00.00.000 E124.00.00.000
38E19 N038.00.00.000 E119.00.00.000
38E20 N038.00.00.000 E120.00.00.000
38E21 N038.00.00.000 E121.00.00.000
38E22 N038.00.00.000 E122.00.00.000
38E23 N038.00.00.000 E123.00.00.000
38E24 N038.00.00.000 E124.00.00.000
38VOR N029.47.26.452 E121.31.13.739
38VOR N034.59.12.181 E118.24.28.642
39DME N030.00.31.550 E122.21.21.290
39VOR N024.34.43.810 E118.10.59.290
39VOR N035.06.54.050 E118.24.33.070
41LO4 N031.03.41.400 E121.50.42.580
41VOR N024.44.44.801 E118.33.16.481
42LOC N029.51.28.750 E122.22.15.809
44VOR N033.50.03.250 E119.09.46.559
44VOR N036.13.02.618 E120.23.36.442
44VOR N037.15.10.080 E122.15.29.020
45VO2 N029.51.23.378 E122.21.42.581
45VOR N024.29.38.242 E118.03.40.601
45VOR N029.46.41.351 E118.10.48.871
45VOR N030.00.22.010 E122.21.04.720
46VOR N029.52.02.302 E121.23.09.550
48LOC N029.52.35.360 E121.22.29.921
50VOR N029.24.47.401 E120.03.22.950
50VOR N034.03.49.590 E117.38.55.990
50VOR N037.26.44.632 E121.25.03.929
52VOR N027.51.08.780 E120.49.07.432
52VOR N036.55.12.400 E117.12.54.000
53VOR N031.42.29.009 E118.47.55.860
55VOR N037.36.45.479 E120.55.22.109
56VOR N036.11.52.969 E120.23.59.438
59VOR N028.47.39.260 E115.52.04.559
60VOR N036.56.00.470 E117.12.54.000
61VOR N024.18.37.051 E116.08.34.861
69VOR N037.28.14.509 E121.26.32.168
70VOR N029.53.14.370 E121.20.46.039
84VOR N025.48.54.130 E119.36.00.821
A N027.41.60.000 E120.54.47.999
A N029.54.18.000 E121.42.36.000
A N031.41.30.001 E120.19.59.999
A N032.19.13.141 E119.37.41.840
A N037.46.00.790 E120.53.43.688
AA10 N036.18.24.001 E120.08.24.000
AA3 N036.16.36.001 E120.28.30.000
ABOM N036.46.47.348 E117.12.53.989
ABTUB N036.00.02.002 E117.22.04.001
ABVER N035.42.42.001 E120.33.25.999
ABVIL N029.38.30.001 E119.18.54.000
ADBAS N030.20.35.999 E120.16.01.999
ADGOL N031.28.41.999 E116.50.42.000
AGAVO N037.10.00.001 E124.00.00.000
AGPUX N032.10.22.001 E119.29.25.001
AICER N026.08.50.842 E120.08.31.020
AKAMI N032.15.00.000 E116.57.10.001
AKARA N031.30.00.000 E123.30.00.000
AKAVO N027.15.37.001 E119.33.20.999
AKBEP N033.45.43.999 E121.51.24.998
AKSIG N032.30.00.000 E118.31.59.999
ALADU N024.19.17.000 E118.00.40.000
ALDAP N031.37.31.001 E122.22.14.002
ALPHA N028.41.60.000 E115.58.12.000
AM103 N024.24.27.000 E117.56.08.002
AM111 N024.27.42.001 E117.53.21.998
AM121 N024.21.15.001 E117.58.50.002
AM122 N024.30.04.000 E118.11.10.000
AM123 N025.09.43.999 E118.29.44.999
AM124 N024.26.58.999 E118.06.54.000
AM125 N024.18.00.000 E117.53.43.001
AM203 N024.40.13.001 E118.18.22.000
AM211 N024.45.20.002 E118.14.02.000
AM221 N024.43.18.998 E118.22.37.999
AM222 N024.52.26.000 E118.35.28.000
AM231 N024.37.14.999 E118.20.53.002
AM301 N024.46.14.999 E118.14.55.000
AM303 N024.57.27.000 E118.42.33.998
