24VOR N043.55.27.649 E087.33.41.530
3180E N031.00.00.000 E080.00.00.000
3181E N031.00.00.000 E081.00.00.000
3182E N031.00.00.000 E082.00.00.000
3279E N032.00.00.000 E079.00.00.000
3280E N032.00.00.000 E080.00.00.000
3281E N032.00.00.000 E081.00.00.000
3282E N032.00.00.000 E082.00.00.000
3283E N032.00.00.000 E083.00.00.000
3284E N032.00.00.000 E084.00.00.000
3379E N033.00.00.000 E079.00.00.000
3380E N033.00.00.000 E080.00.00.000
3381E N033.00.00.000 E081.00.00.000
3382E N033.00.00.000 E082.00.00.000
3383E N033.00.00.000 E083.00.00.000
3384E N033.00.00.000 E084.00.00.000
3479E N034.00.00.000 E079.00.00.000
3480E N034.00.00.000 E080.00.00.000
3481E N034.00.00.000 E081.00.00.000
3482E N034.00.00.000 E082.00.00.000
3483E N034.00.00.000 E083.00.00.000
3484E N034.00.00.000 E084.00.00.000
3485E N034.00.00.000 E085.00.00.000
3578E N035.00.00.000 E078.00.00.000
3579E N035.00.00.000 E079.00.00.000
3580E N035.00.00.000 E080.00.00.000
3581E N035.00.00.000 E081.00.00.000
3582E N035.00.00.000 E082.00.00.000
3583E N035.00.00.000 E083.00.00.000
3584E N035.00.00.000 E084.00.00.000
3585E N035.00.00.000 E085.00.00.000
3586E N035.00.00.000 E086.00.00.000
3676E N036.00.00.000 E076.00.00.000
3677E N036.00.00.000 E077.00.00.000
3678E N036.00.00.000 E078.00.00.000
3679E N036.00.00.000 E079.00.00.000
3680E N036.00.00.000 E080.00.00.000
3681E N036.00.00.000 E081.00.00.000
3682E N036.00.00.000 E082.00.00.000
3683E N036.00.00.000 E083.00.00.000
3684E N036.00.00.000 E084.00.00.000
3685E N036.00.00.000 E085.00.00.000
3686E N036.00.00.000 E086.00.00.000
3687E N036.00.00.000 E087.00.00.000
3775E N037.00.00.000 E075.00.00.000
3776E N037.00.00.000 E076.00.00.000
3777E N037.00.00.000 E077.00.00.000
3778E N037.00.00.000 E078.00.00.000
3779E N037.00.00.000 E079.00.00.000
3780E N037.00.00.000 E080.00.00.000
3781E N037.00.00.000 E081.00.00.000
3782E N037.00.00.000 E082.00.00.000
3783E N037.00.00.000 E083.00.00.000
3784E N037.00.00.000 E084.00.00.000
3785E N037.00.00.000 E085.00.00.000
3786E N037.00.00.000 E086.00.00.000
3787E N037.00.00.000 E087.00.00.000
3788E N037.00.00.000 E088.00.00.000
3875E N038.00.00.000 E075.00.00.000
3876E N038.00.00.000 E076.00.00.000
3877E N038.00.00.000 E077.00.00.000
3878E N038.00.00.000 E078.00.00.000
3879E N038.00.00.000 E079.00.00.000
3880E N038.00.00.000 E080.00.00.000
3881E N038.00.00.000 E081.00.00.000
3882E N038.00.00.000 E082.00.00.000
3883E N038.00.00.000 E083.00.00.000
3884E N038.00.00.000 E084.00.00.000
3885E N038.00.00.000 E085.00.00.000
3886E N038.00.00.000 E086.00.00.000
3887E N038.00.00.000 E087.00.00.000
3888E N038.00.00.000 E088.00.00.000
3889E N038.00.00.000 E089.00.00.000
3890E N038.00.00.000 E090.00.00.000
3974E N039.00.00.000 E074.00.00.000
3975E N039.00.00.000 E075.00.00.000
3976E N039.00.00.000 E076.00.00.000
3977E N039.00.00.000 E077.00.00.000
3978E N039.00.00.000 E078.00.00.000
3979E N039.00.00.000 E079.00.00.000
3980E N039.00.00.000 E080.00.00.000
3981E N039.00.00.000 E081.00.00.000
3982E N039.00.00.000 E082.00.00.000
3983E N039.00.00.000 E083.00.00.000
3984E N039.00.00.000 E084.00.00.000
3985E N039.00.00.000 E085.00.00.000
3986E N039.00.00.000 E086.00.00.000
3987E N039.00.00.000 E087.00.00.000
3988E N039.00.00.000 E088.00.00.000
3989E N039.00.00.000 E089.00.00.000
3990E N039.00.00.000 E090.00.00.000
3991E N039.00.00.000 E091.00.00.000
4074E N040.00.00.000 E074.00.00.000
4075E N040.00.00.000 E075.00.00.000
4076E N040.00.00.000 E076.00.00.000
4077E N040.00.00.000 E077.00.00.000
4078E N040.00.00.000 E078.00.00.000
4079E N040.00.00.000 E079.00.00.000
4080E N040.00.00.000 E080.00.00.000
4081E N040.00.00.000 E081.00.00.000
4082E N040.00.00.000 E082.00.00.000
4083E N040.00.00.000 E083.00.00.000
4084E N040.00.00.000 E084.00.00.000
4085E N040.00.00.000 E085.00.00.000
4086E N040.00.00.000 E086.00.00.000
4087E N040.00.00.000 E087.00.00.000
4088E N040.00.00.000 E088.00.00.000
4089E N040.00.00.000 E089.00.00.000
4090E N040.00.00.000 E090.00.00.000
4091E N040.00.00.000 E091.00.00.000
4092E N040.00.00.000 E092.00.00.000
4177E N041.00.00.000 E077.00.00.000
4178E N041.00.00.000 E078.00.00.000
4179E N041.00.00.000 E079.00.00.000
4180E N041.00.00.000 E080.00.00.000
4181E N041.00.00.000 E081.00.00.000
4182E N041.00.00.000 E082.00.00.000
4183E N041.00.00.000 E083.00.00.000
4184E N041.00.00.000 E084.00.00.000
4185E N041.00.00.000 E085.00.00.000
4186E N041.00.00.000 E086.00.00.000
4187E N041.00.00.000 E087.00.00.000
4188E N041.00.00.000 E088.00.00.000
4189E N041.00.00.000 E089.00.00.000
4190E N041.00.00.000 E090.00.00.000
4191E N041.00.00.000 E091.00.00.000
4192E N041.00.00.000 E092.00.00.000
4193E N041.00.00.000 E093.00.00.000
4194E N041.00.00.000 E094.00.00.000
41VOR N039.32.00.899 E075.56.11.879
4280E N042.00.00.000 E080.00.00.000
4281E N042.00.00.000 E081.00.00.000
4282E N042.00.00.000 E082.00.00.000
4283E N042.00.00.000 E083.00.00.000
4284E N042.00.00.000 E084.00.00.000
4285E N042.00.00.000 E085.00.00.000
4286E N042.00.00.000 E086.00.00.000
4287E N042.00.00.000 E087.00.00.000
4288E N042.00.00.000 E088.00.00.000
4289E N042.00.00.000 E089.00.00.000
4290E N042.00.00.000 E090.00.00.000
4291E N042.00.00.000 E091.00.00.000
4292E N042.00.00.000 E092.00.00.000
4293E N042.00.00.000 E093.00.00.000
4294E N042.00.00.000 E094.00.00.000
4295E N042.00.00.000 E095.00.00.000
4381E N043.00.00.000 E081.00.00.000
4382E N043.00.00.000 E082.00.00.000
4383E N043.00.00.000 E083.00.00.000
4384E N043.00.00.000 E084.00.00.000
4385E N043.00.00.000 E085.00.00.000
4386E N043.00.00.000 E086.00.00.000
4387E N043.00.00.000 E087.00.00.000
4388E N043.00.00.000 E088.00.00.000
4389E N043.00.00.000 E089.00.00.000
4390E N043.00.00.000 E090.00.00.000
4391E N043.00.00.000 E091.00.00.000
4392E N043.00.00.000 E092.00.00.000
4393E N043.00.00.000 E093.00.00.000
4394E N043.00.00.000 E094.00.00.000
4395E N043.00.00.000 E095.00.00.000
4396E N043.00.00.000 E096.00.00.000
4481E N044.00.00.000 E081.00.00.000
4482E N044.00.00.000 E082.00.00.000
4483E N044.00.00.000 E083.00.00.000
4484E N044.00.00.000 E084.00.00.000
4485E N044.00.00.000 E085.00.00.000
4486E N044.00.00.000 E086.00.00.000
4487E N044.00.00.000 E087.00.00.000
4488E N044.00.00.000 E088.00.00.000
4489E N044.00.00.000 E089.00.00.000
4490E N044.00.00.000 E090.00.00.000
4491E N044.00.00.000 E091.00.00.000
4492E N044.00.00.000 E092.00.00.000
4493E N044.00.00.000 E093.00.00.000
4494E N044.00.00.000 E094.00.00.000
4495E N044.00.00.000 E095.00.00.000
4580E N045.00.00.000 E080.00.00.000
4581E N045.00.00.000 E081.00.00.000
4582E N045.00.00.000 E082.00.00.000
4583E N045.00.00.000 E083.00.00.000
4584E N045.00.00.000 E084.00.00.000
4585E N045.00.00.000 E085.00.00.000
4586E N045.00.00.000 E086.00.00.000
4587E N045.00.00.000 E087.00.00.000
4588E N045.00.00.000 E088.00.00.000
4589E N045.00.00.000 E089.00.00.000
