07NDG N045.58.48.000 E125.45.00.000
29DME N049.35.01.478 E117.14.39.401
29VOR N049.12.05.839 E119.44.52.840
35DME N049.32.48.620 E117.25.45.250
35JMU N045.57.54.000 E127.27.24.001
35VOR N049.12.44.701 E119.54.34.330
37E23 N037.00.00.000 E123.00.00.000
37E24 N037.00.00.000 E124.00.00.000
38E23 N038.00.00.000 E123.00.00.000
38E24 N038.00.00.000 E124.00.00.000
39E20 N039.00.00.000 E120.00.00.000
39E21 N039.00.00.000 E121.00.00.000
39E22 N039.00.00.000 E122.00.00.000
39E23 N039.00.00.000 E123.00.00.000
39E24 N039.00.00.000 E124.00.00.000
40DME N043.56.42.968 E125.36.13.550
40E20 N040.00.00.000 E120.00.00.000
40E21 N040.00.00.000 E121.00.00.000
40E22 N040.00.00.000 E122.00.00.000
40E23 N040.00.00.000 E123.00.00.000
40E24 N040.00.00.000 E124.00.00.000
40VOR N046.48.02.200 E130.23.18.701
41E19 N041.00.00.000 E119.00.00.000
41E20 N041.00.00.000 E120.00.00.000
41E21 N041.00.00.000 E121.00.00.000
41E22 N041.00.00.000 E122.00.00.000
41E23 N041.00.00.000 E123.00.00.000
41E24 N041.00.00.000 E124.00.00.000
41E25 N041.00.00.000 E125.00.00.000
41E26 N041.00.00.000 E126.00.00.000
42DME N044.02.59.590 E125.46.14.970
42DME N046.47.44.650 E130.23.17.452
42E18 N042.00.00.000 E118.00.00.000
42E19 N042.00.00.000 E119.00.00.000
42E20 N042.00.00.000 E120.00.00.000
42E21 N042.00.00.000 E121.00.00.000
42E22 N042.00.00.000 E122.00.00.000
42E23 N042.00.00.000 E123.00.00.000
42E24 N042.00.00.000 E124.00.00.000
42E25 N042.00.00.000 E125.00.00.000
42E26 N042.00.00.000 E126.00.00.000
42E27 N042.00.00.000 E127.00.00.000
42E28 N042.00.00.000 E128.00.00.000
42E29 N042.00.00.000 E129.00.00.000
42VOR N042.52.07.450 E129.21.30.802
43E18 N043.00.00.000 E118.00.00.000
43E19 N043.00.00.000 E119.00.00.000
43E20 N043.00.00.000 E120.00.00.000
43E21 N043.00.00.000 E121.00.00.000
43E22 N043.00.00.000 E122.00.00.000
43E23 N043.00.00.000 E123.00.00.000
43E24 N043.00.00.000 E124.00.00.000
43E25 N043.00.00.000 E125.00.00.000
43E26 N043.00.00.000 E126.00.00.000
43E27 N043.00.00.000 E127.00.00.000
43E28 N043.00.00.000 E128.00.00.000
43E29 N043.00.00.000 E129.00.00.000
43E30 N043.00.00.000 E130.00.00.000
43E31 N043.00.00.000 E131.00.00.000
44E17 N044.00.00.000 E117.00.00.000
44E18 N044.00.00.000 E118.00.00.000
44E19 N044.00.00.000 E119.00.00.000
44E20 N044.00.00.000 E120.00.00.000
44E21 N044.00.00.000 E121.00.00.000
44E22 N044.00.00.000 E122.00.00.000
44E23 N044.00.00.000 E123.00.00.000
44E24 N044.00.00.000 E124.00.00.000
44E25 N044.00.00.000 E125.00.00.000
44E26 N044.00.00.000 E126.00.00.000
44E27 N044.00.00.000 E127.00.00.000
44E28 N044.00.00.000 E128.00.00.000
44E29 N044.00.00.000 E129.00.00.000
44E30 N044.00.00.000 E130.00.00.000
44E31 N044.00.00.000 E131.00.00.000
45E16 N045.00.00.000 E116.00.00.000
45E17 N045.00.00.000 E117.00.00.000
45E18 N045.00.00.000 E118.00.00.000
45E19 N045.00.00.000 E119.00.00.000
45E20 N045.00.00.000 E120.00.00.000
45E21 N045.00.00.000 E121.00.00.000
45E22 N045.00.00.000 E122.00.00.000
45E23 N045.00.00.000 E123.00.00.000
45E24 N045.00.00.000 E124.00.00.000
45E25 N045.00.00.000 E125.00.00.000
45E26 N045.00.00.000 E126.00.00.000
45E27 N045.00.00.000 E127.00.00.000
45E28 N045.00.00.000 E128.00.00.000
45E29 N045.00.00.000 E129.00.00.000
45E30 N045.00.00.000 E130.00.00.000
45E31 N045.00.00.000 E131.00.00.000
45E32 N045.00.00.000 E132.00.00.000
45E33 N045.00.00.000 E133.00.00.000
46E17 N046.00.00.000 E117.00.00.000
46E18 N046.00.00.000 E118.00.00.000
46E19 N046.00.00.000 E119.00.00.000
46E20 N046.00.00.000 E120.00.00.000
46E21 N046.00.00.000 E121.00.00.000
46E22 N046.00.00.000 E122.00.00.000
46E23 N046.00.00.000 E123.00.00.000
46E24 N046.00.00.000 E124.00.00.000
46E25 N046.00.00.000 E125.00.00.000
46E26 N046.00.00.000 E126.00.00.000
46E27 N046.00.00.000 E127.00.00.000
46E28 N046.00.00.000 E128.00.00.000
46E29 N046.00.00.000 E129.00.00.000
46E30 N046.00.00.000 E130.00.00.000
46E31 N046.00.00.000 E131.00.00.000
46E32 N046.00.00.000 E132.00.00.000
46E33 N046.00.00.000 E133.00.00.000
47E19 N047.00.00.000 E119.00.00.000
47E20 N047.00.00.000 E120.00.00.000
47E21 N047.00.00.000 E121.00.00.000
47E22 N047.00.00.000 E122.00.00.000
47E23 N047.00.00.000 E123.00.00.000
47E24 N047.00.00.000 E124.00.00.000
47E25 N047.00.00.000 E125.00.00.000
47E26 N047.00.00.000 E126.00.00.000
47E27 N047.00.00.000 E127.00.00.000
47E28 N047.00.00.000 E128.00.00.000
47E29 N047.00.00.000 E129.00.00.000
47E30 N047.00.00.000 E130.00.00.000
47E31 N047.00.00.000 E131.00.00.000
47E32 N047.00.00.000 E132.00.00.000
47E33 N047.00.00.000 E133.00.00.000
47E34 N047.00.00.000 E134.00.00.000
48E16 N048.00.00.000 E116.00.00.000
48E17 N048.00.00.000 E117.00.00.000
48E18 N048.00.00.000 E118.00.00.000
48E19 N048.00.00.000 E119.00.00.000
48E20 N048.00.00.000 E120.00.00.000
48E21 N048.00.00.000 E121.00.00.000
48E22 N048.00.00.000 E122.00.00.000
48E23 N048.00.00.000 E123.00.00.000
48E24 N048.00.00.000 E124.00.00.000
48E25 N048.00.00.000 E125.00.00.000
48E26 N048.00.00.000 E126.00.00.000
48E27 N048.00.00.000 E127.00.00.000
48E28 N048.00.00.000 E128.00.00.000
48E29 N048.00.00.000 E129.00.00.000
48E30 N048.00.00.000 E130.00.00.000
48E31 N048.00.00.000 E131.00.00.000
48E33 N048.00.00.000 E133.00.00.000
48E34 N048.00.00.000 E134.00.00.000
48VOR N041.35.03.761 E123.24.21.308
49E16 N049.00.00.000 E116.00.00.000
49E17 N049.00.00.000 E117.00.00.000
49E18 N049.00.00.000 E118.00.00.000
49E19 N049.00.00.000 E119.00.00.000
49E20 N049.00.00.000 E120.00.00.000
49E21 N049.00.00.000 E121.00.00.000
49E22 N049.00.00.000 E122.00.00.000
49E23 N049.00.00.000 E123.00.00.000
49E24 N049.00.00.000 E124.00.00.000
49E25 N049.00.00.000 E125.00.00.000
49E26 N049.00.00.000 E126.00.00.000
49E27 N049.00.00.000 E127.00.00.000
49E28 N049.00.00.000 E128.00.00.000
49E29 N049.00.00.000 E129.00.00.000
49E30 N049.00.00.000 E130.00.00.000
50E19 N050.00.00.000 E119.00.00.000
50E20 N050.00.00.000 E120.00.00.000
50E21 N050.00.00.000 E121.00.00.000
50E22 N050.00.00.000 E122.00.00.000
50E23 N050.00.00.000 E123.00.00.000
50E24 N050.00.00.000 E124.00.00.000
50E25 N050.00.00.000 E125.00.00.000
50E26 N050.00.00.000 E126.00.00.000
50E27 N050.00.00.000 E127.00.00.000
51E20 N051.00.00.000 E120.00.00.000
51E21 N051.00.00.000 E121.00.00.000
51E22 N051.00.00.000 E122.00.00.000
51E23 N051.00.00.000 E123.00.00.000
51E24 N051.00.00.000 E124.00.00.000
51E25 N051.00.00.000 E125.00.00.000
51E26 N051.00.00.000 E126.00.00.000
51E27 N051.00.00.000 E127.00.00.000
52E21 N052.00.00.000 E121.00.00.000
52E22 N052.00.00.000 E122.00.00.000
52E23 N052.00.00.000 E123.00.00.000
52E24 N052.00.00.000 E124.00.00.000
52E25 N052.00.00.000 E125.00.00.000
52E26 N052.00.00.000 E126.00.00.000
53E20 N053.00.00.000 E120.00.00.000
53E21 N053.00.00.000 E121.00.00.000
53E22 N053.00.00.000 E122.00.00.000
53E23 N053.00.00.000 E123.00.00.000
53E24 N053.00.00.000 E124.00.00.000
53E25 N053.00.00.000 E125.00.00.000
53E26 N053.00.00.000 E126.00.00.000
54VOR N042.53.22.369 E129.34.25.669
58DME N044.36.07.661 E129.37.18.530
58VOR N044.36.14.281 E129.36.58.320
A N043.47.42.000 E125.21.42.001
A1 N041.45.11.999 E124.25.48.000
A2 N041.45.42.721 E124.07.08.630
A3 N041.31.45.970 E124.08.53.110
A4 N041.36.44.809 E124.08.15.878
A5 N041.51.45.608 E124.22.40.732
ABVAX N047.27.36.000 E120.35.21.001
AGAVO N037.10.00.001 E124.00.00.000
ALARA N038.33.40.000 E120.33.06.001
ANDIN N041.04.41.999 E118.42.54.000
ANOBI N040.13.17.000 E119.10.45.001
ANRAT N038.39.29.999 E119.57.24.001
